id;givens;agility;used;seconds;variables;n_phases;conflicts;level;MB;limit;learned;original
17-120;17;7.3;93.7;0.0;301;3;116;9.8;0.3;1100;109;64
17-121;17;4.4;84.6;0.0;311;2;62;10.0;0.3;1000;60;64
17-122;17;1.7;77.2;0.0;304;2;30;5.7;0.3;1000;22;64
17-123;17;1.0;81.1;0.0;252;2;36;5.7;0.3;1000;14;60
17-124;17;2.8;78.5;0.0;318;2;42;8.7;0.3;1000;41;64
17-125;17;10.2;92.0;0.0;310;4;193;12.2;0.3;1100;191;64
17-126;17;14.1;93.3;0.0;276;5;354;9.2;0.4;1210;330;63
17-127;17;3.5;85.2;0.0;221;2;64;8.2;0.3;1000;44;62
17-128;17;5.3;94.4;0.0;253;2;82;5.3;0.3;1000;62;64
17-129;17;2.3;87.7;0.0;268;2;52;9.2;0.3;1000;26;64
17-130;17;2.0;83.5;0.0;265;2;47;7.1;0.3;1000;24;62
17-131;17;6.6;87.2;0.0;273;2;111;11.4;0.3;1000;78;64
17-132;17;2.8;93.4;0.0;204;2;60;4.5;0.3;1000;25;64
17-133;17;3.6;86.7;0.0;242;2;71;6.3;0.3;1000;33;60
17-134;17;3.2;77.8;0.0;301;2;37;8.0;0.3;1000;33;64
17-135;17;1.9;81.3;0.0;253;2;53;5.0;0.3;1000;13;64
17-136;17;7.8;86.4;0.0;252;3;129;8.2;0.3;1100;107;61
17-137;17;3.3;84.6;0.0;258;2;74;5.9;0.3;1000;35;62
17-138;17;0.0;100.0;0.0;0;2;50;0.0;0.3;0;0;0
17-139;17;12.7;98.1;0.0;297;5;252;12.5;0.4;1210;248;64
17-140;17;11.4;92.6;0.0;284;4;179;12.7;0.4;1100;159;63
17-141;17;3.6;94.4;0.0;276;2;50;9.5;0.3;1000;44;62
17-142;17;1.7;83.5;0.0;277;2;43;4.7;0.3;1000;18;63
17-143;17;4.5;83.1;0.0;275;2;71;7.4;0.3;1000;51;63
17-144;17;7.6;90.7;0.0;170;3;137;7.3;0.3;1100;106;62
17-145;17;2.0;90.1;0.0;211;2;68;5.4;0.3;1000;17;58
17-146;17;6.1;94.7;0.0;206;2;104;9.0;0.3;1000;54;56
17-147;17;7.9;88.2;0.0;288;3;149;8.9;0.3;1100;142;64
17-148;17;1.7;80.7;0.0;296;2;27;11.6;0.3;1000;15;64
17-149;17;11.5;95.9;0.0;242;4;231;11.9;0.3;1100;209;64
17-150;17;13.7;97.5;0.0;276;6;407;10.4;0.4;1331;389;64
17-151;17;5.2;90.3;0.0;283;2;73;8.9;0.3;1000;52;64
17-152;17;10.4;95.5;0.0;302;4;211;9.9;0.4;1100;202;64
17-153;17;11.7;93.7;0.0;291;5;284;9.8;0.4;1210;275;64
17-154;17;5.3;89.7;0.0;292;2;83;8.7;0.3;1000;69;64
17-155;17;13.7;95.5;0.0;307;7;517;13.4;0.4;1331;516;64
17-156;17;9.6;93.7;0.0;306;4;181;11.3;0.3;1100;177;64
17-157;17;14.2;94.8;0.0;309;8;566;14.5;0.4;1464;564;64
17-158;17;3.4;76.4;0.0;312;2;54;12.9;0.3;1000;51;64
17-159;17;14.5;99.3;0.0;298;13;1516;18.2;0.6;1948;1510;64
17-160;17;14.8;98.6;0.0;254;6;472;13.6;0.4;1331;443;64
17-161;17;1.6;86.6;0.0;213;2;47;5.0;0.3;1000;13;54
17-162;17;1.2;80.5;0.0;229;2;47;3.2;0.3;1000;11;60
17-163;17;13.6;97.1;0.0;279;6;489;9.9;0.4;1331;477;64
17-164;17;4.4;90.1;0.0;281;2;76;8.8;0.3;1000;57;64
17-165;17;3.1;90.9;0.0;271;2;46;7.3;0.3;1000;32;63
17-166;17;14.0;91.5;0.0;312;8;647;11.7;0.4;1464;641;64
17-167;17;8.4;94.1;0.0;271;3;161;7.4;0.3;1100;143;62
17-168;17;10.1;93.4;0.0;290;3;124;8.2;0.3;1100;117;64
17-169;17;2.6;90.1;0.0;267;2;51;6.5;0.3;1000;21;63
17-170;17;5.0;77.2;0.0;291;2;86;6.1;0.3;1000;79;64
17-171;17;13.3;94.2;0.0;264;4;234;8.9;0.3;1100;216;62
17-172;17;9.8;95.5;0.0;272;3;168;8.9;0.3;1100;158;64
17-173;17;1.0;84.6;0.0;241;2;35;6.8;0.3;1000;12;58
17-174;17;6.5;95.2;0.0;268;2;80;13.1;0.3;1000;62;62
17-175;17;0.0;84.9;0.0;157;2;26;2.5;0.3;1000;0;45
17-176;17;2.9;83.4;0.0;296;2;35;3.7;0.3;1000;30;64
17-177;17;5.5;93.4;0.0;285;2;82;7.0;0.3;1000;61;64
17-178;17;3.6;76.1;0.0;309;2;49;8.3;0.3;1000;47;64
17-179;17;13.4;93.6;0.0;302;7;389;13.7;0.4;1331;384;64
17-180;17;4.1;82.3;0.0;270;2;85;6.7;0.3;1000;54;64
17-181;17;6.6;89.8;0.0;267;2;86;9.9;0.3;1000;66;62
17-182;17;14.1;95.1;0.0;275;5;366;8.5;0.4;1210;334;63
17-183;17;0.0;100.0;0.0;0;2;64;0.0;0.3;0;0;0
17-184;17;8.8;93.6;0.0;294;3;146;8.1;0.3;1100;135;64
17-185;17;6.3;84.6;0.0;303;3;113;7.5;0.3;1100;108;64
17-186;17;8.5;90.3;0.0;301;3;145;8.1;0.3;1100;140;64
17-187;17;6.2;93.0;0.0;279;2;88;10.2;0.3;1000;71;64
17-188;17;0.0;100.0;0.0;0;2;69;0.0;0.3;0;0;0
17-189;17;6.9;92.2;0.0;206;2;95;6.8;0.3;1000;66;53
17-190;17;14.2;96.0;0.0;293;7;400;13.6;0.4;1331;378;64
17-191;17;11.4;93.3;0.0;306;5;242;7.9;0.4;1210;232;64
17-192;17;2.2;83.7;0.0;281;2;57;6.0;0.3;1000;33;64
17-193;17;7.6;78.2;0.0;309;3;131;10.0;0.3;1100;130;64
17-194;17;2.4;87.0;0.0;246;2;59;5.4;0.3;1000;22;62
17-195;17;10.5;95.9;0.0;244;4;242;11.4;0.3;1100;202;63
17-196;17;5.2;93.3;0.0;227;2;90;7.4;0.3;1000;56;56
17-197;17;3.3;88.1;0.0;160;2;92;4.3;0.3;1000;24;56
17-198;17;11.4;90.0;0.0;299;4;191;15.2;0.3;1100;185;64
17-199;17;1.6;71.9;0.0;294;2;37;6.1;0.3;1000;22;64
17-200;17;1.8;87.2;0.0;289;2;37;5.9;0.3;1000;18;63
17-201;17;3.7;90.3;0.0;255;2;70;6.6;0.3;1000;45;61
17-202;17;16.2;97.3;0.0;275;9;758;12.5;0.4;1464;737;64
17-203;17;11.1;87.4;0.0;275;5;271;9.6;0.4;1210;240;64
17-204;17;14.4;98.4;0.0;245;7;406;11.7;0.4;1331;373;64
17-205;17;3.3;74.2;0.0;268;2;64;7.3;0.3;1000;41;62
17-206;17;6.5;87.7;0.0;280;2;112;5.8;0.3;1000;83;63
17-207;17;0.0;100.0;0.0;0;2;79;0.0;0.3;0;0;0
17-208;17;7.1;93.1;0.0;308;4;122;10.3;0.3;1100;117;64
17-209;17;11.4;84.6;0.0;303;5;304;10.0;0.4;1210;301;64
17-210;17;1.5;69.5;0.0;281;2;20;4.7;0.3;1000;13;64
17-211;17;7.1;94.2;0.0;299;4;130;9.6;0.3;1100;124;64
17-212;17;10.3;93.4;0.0;284;4;198;9.8;0.3;1100;187;64
17-213;17;7.3;95.3;0.0;317;4;129;11.3;0.3;1100;123;64
17-214;17;2.1;84.9;0.0;305;2;34;11.6;0.3;1000;33;63
17-215;17;1.1;74.2;0.0;279;2;26;5.7;0.3;1000;13;63
17-216;17;5.8;82.4;0.0;296;2;96;8.3;0.3;1000;74;64
17-217;17;9.5;95.5;0.0;227;3;177;7.6;0.3;1100;151;57
17-218;17;2.3;91.4;0.0;257;2;51;3.6;0.3;1000;21;64
17-219;17;8.5;93.0;0.0;307;3;131;10.2;0.3;1100;130;64
17-220;17;8.4;89.8;0.0;279;3;147;8.1;0.3;1100;136;64
17-221;17;8.1;95.7;0.0;305;4;128;9.4;0.3;1100;127;64
17-222;17;7.9;92.0;0.0;311;4;113;12.5;0.3;1100;113;64
17-223;17;8.7;98.6;0.0;308;4;160;10.8;0.3;1100;158;64
17-224;17;7.1;88.5;0.0;242;3;131;7.3;0.3;1100;92;64
17-225;17;14.1;99.3;0.0;308;11;1301;15.1;0.5;1771;1293;64
17-226;17;15.3;99.0;0.0;292;14;2136;15.4;0.5;2142;1192;63
17-227;17;1.2;90.0;0.0;216;2;35;5.1;0.3;1000;12;55
17-228;17;9.9;84.2;0.0;303;4;213;11.3;0.3;1100;213;64
17-229;17;9.0;90.9;0.0;302;3;127;10.8;0.3;1100;125;64
17-230;17;9.1;84.5;0.0;288;3;200;11.3;0.3;1100;175;64
17-231;17;0.0;100.0;0.0;0;2;75;0.0;0.3;0;0;0
17-232;17;0.0;100.0;0.0;0;2;62;0.0;0.3;0;0;0
17-233;17;11.9;92.7;0.0;296;6;354;11.3;0.4;1210;341;64
17-234;17;13.4;94.7;0.0;308;8;547;12.8;0.4;1464;546;64
17-235;17;12.9;90.9;0.0;281;8;617;12.2;0.4;1464;602;64
17-236;17;8.5;89.0;0.0;304;4;153;10.3;0.3;1100;151;64
17-237;17;13.9;93.1;0.0;290;9;651;13.1;0.4;1464;642;64
17-238;17;13.5;97.0;0.0;252;7;458;10.9;0.4;1331;420;64
17-239;17;7.4;86.8;0.0;278;3;134;13.7;0.3;1100;118;64
17-240;17;5.2;85.9;0.0;305;2;69;6.6;0.3;1000;65;64
17-241;17;0.0;100.0;0.0;0;2;31;0.0;0.3;0;0;0
17-242;17;11.2;92.2;0.0;303;4;199;10.4;0.4;1100;199;64
17-243;17;9.1;94.4;0.0;313;4;183;9.1;0.3;1100;182;64
17-244;17;14.4;100.0;0.0;315;7;518;13.6;0.4;1331;510;64
17-245;17;13.8;99.3;0.0;292;11;1179;12.2;0.5;1771;1169;64
17-246;17;11.0;89.6;0.0;310;4;192;13.7;0.3;1100;192;64
17-247;17;11.7;96.8;0.0;294;3;175;9.0;0.4;1100;169;64
17-248;17;13.1;98.6;0.0;297;7;374;11.3;0.4;1331;364;64
17-249;17;7.1;93.7;0.0;270;2;104;7.5;0.3;1000;89;64
17-250;17;3.1;84.8;0.0;247;2;62;6.3;0.3;1000;34;60
17-251;17;0.0;100.0;0.0;0;2;25;0.0;0.3;0;0;0
17-252;17;12.7;85.0;0.0;291;7;426;9.8;0.4;1331;417;64
17-253;17;6.4;91.1;0.0;297;2;74;9.7;0.3;1000;70;64
17-254;17;5.0;91.8;0.0;311;2;59;10.3;0.3;1000;58;64
17-255;17;4.5;85.6;0.0;293;2;61;13.3;0.3;1000;48;64
17-256;17;10.7;94.8;0.0;287;4;207;8.7;0.3;1100;194;64
17-257;17;8.1;92.6;0.0;273;3;115;6.1;0.3;1100;98;63
17-258;17;13.2;92.9;0.0;290;7;449;13.6;0.4;1331;440;64
17-259;17;4.8;87.8;0.0;278;2;72;7.2;0.3;1000;60;64
17-260;17;11.6;95.3;0.0;295;6;277;12.2;0.4;1210;266;64
17-261;17;1.7;85.6;0.0;231;2;52;5.7;0.3;1000;12;60
17-262;17;14.7;97.1;0.0;312;5;353;17.8;0.4;1210;352;64
17-263;17;7.8;92.7;0.0;233;3;134;8.3;0.3;1100;104;64
17-264;17;5.0;86.1;0.0;147;2;98;6.6;0.3;1000;69;60
17-265;17;9.9;100.0;0.0;0;3;160;12.5;0.4;1100;129;64
17-266;17;11.6;100.0;0.0;0;6;382;11.2;0.4;1331;362;64
17-267;17;8.4;89.0;0.0;308;2;96;8.5;0.3;1000;96;64
17-268;17;5.1;87.1;0.0;245;2;103;6.8;0.3;1000;73;62
17-269;17;2.0;76.8;0.0;266;2;39;5.9;0.3;1000;21;64
17-270;17;4.8;100.0;0.0;0;2;90;7.0;0.3;1000;54;64
17-271;17;4.1;82.4;0.0;303;2;57;10.0;0.3;1000;56;64
17-272;17;2.6;80.8;0.0;292;2;47;4.5;0.3;1000;34;64
17-273;17;0.0;100.0;0.0;0;2;14;0.0;0.3;0;0;0
17-274;17;14.9;100.0;0.0;291;8;587;12.8;0.4;1464;580;64
17-275;17;4.3;88.5;0.0;221;2;83;7.6;0.3;1000;56;57
17-276;17;5.2;93.0;0.0;234;2;81;8.5;0.3;1000;61;64
17-277;17;3.0;87.1;0.0;302;2;34;9.6;0.3;1000;34;64
17-278;17;2.9;82.6;0.0;313;2;22;8.2;0.3;1000;22;64
17-279;17;1.6;91.4;0.0;91;2;26;1.9;0.3;1000;4;64
17-280;17;6.8;94.9;0.0;301;4;107;9.1;0.3;1100;105;64
17-281;17;3.7;89.8;0.0;226;2;65;5.8;0.3;1000;36;56
17-282;17;0.0;100.0;0.0;0;2;60;0.0;0.3;0;0;0
17-283;17;2.1;78.3;0.0;302;2;40;9.2;0.3;1000;28;64
17-284;17;2.2;84.2;0.0;275;2;45;5.8;0.3;1000;22;64
17-285;17;0.0;100.0;0.0;0;2;37;0.0;0.3;0;0;0
17-286;17;8.2;97.3;0.0;275;3;129;12.9;0.3;1100;119;64
17-287;17;10.3;92.0;0.0;269;4;211;10.8;0.3;1100;181;64
17-288;17;8.1;87.4;0.0;176;3;176;7.0;0.3;1100;156;63
17-289;17;14.6;95.5;0.0;288;10;761;12.1;0.4;1610;732;64
17-290;17;4.9;84.0;0.0;306;2;63;9.0;0.3;1000;61;64
17-291;17;6.1;89.6;0.0;306;2;77;8.8;0.3;1000;77;64
17-292;17;3.7;90.0;0.0;300;2;54;8.7;0.3;1000;47;64
17-293;17;1.4;89.7;0.0;199;2;52;6.0;0.3;1000;18;54
17-294;17;7.0;92.3;0.0;282;3;114;7.0;0.3;1100;97;64
17-295;17;0.8;72.3;0.0;273;2;39;5.6;0.3;1000;9;63
17-296;17;6.9;86.7;0.0;290;2;114;7.8;0.3;1000;89;64
17-297;17;9.9;94.5;0.0;246;4;189;9.2;0.3;1100;173;58
17-298;17;9.5;90.0;0.0;284;4;204;12.3;0.3;1100;182;64
17-299;17;4.9;89.2;0.0;283;2;60;8.5;0.3;1000;52;64
17-300;17;12.1;95.9;0.0;301;7;422;9.8;0.4;1331;408;64
17-301;17;4.1;81.1;0.0;291;2;48;10.9;0.3;1000;44;64
17-302;17;14.0;95.2;0.0;275;8;631;11.5;0.4;1464;621;64
17-303;17;8.4;92.7;0.0;246;3;152;8.2;0.3;1100;115;64
17-304;17;3.6;89.0;0.0;303;2;41;17.2;0.3;1000;40;64
17-305;17;6.0;90.9;0.0;241;2;116;8.2;0.3;1000;74;64
17-306;17;6.0;96.6;0.0;220;2;101;6.3;0.3;1000;70;56
17-307;17;3.3;73.8;0.0;295;2;60;8.5;0.3;1000;46;64
17-308;17;15.0;100.0;0.0;247;5;381;9.5;0.4;1210;356;60
17-309;17;4.3;90.0;0.0;301;2;51;7.0;0.3;1000;45;64
17-310;17;4.5;90.1;0.0;239;2;66;6.4;0.3;1000;42;59
17-311;17;10.4;99.5;0.0;292;5;241;11.6;0.4;1210;233;64
17-312;17;13.2;96.4;0.0;236;5;294;8.8;0.4;1210;265;64
17-313;17;6.0;91.9;0.0;306;2;64;7.2;0.3;1000;64;64
17-314;17;10.1;93.1;0.0;303;6;253;9.6;0.4;1210;249;64
17-315;17;13.4;87.5;0.0;306;8;574;11.3;0.4;1464;563;64
17-316;17;11.8;93.8;0.0;312;7;502;11.1;0.4;1331;499;64
17-317;17;11.3;93.0;0.0;302;6;260;9.7;0.4;1210;257;64
17-318;17;9.1;89.7;0.0;286;4;206;7.8;0.3;1100;196;64
17-319;17;1.4;80.4;0.0;278;2;27;7.9;0.3;1000;12;63
17-320;17;2.5;81.2;0.0;272;2;45;8.0;0.3;1000;27;62
17-321;17;11.3;92.5;0.0;305;6;301;10.1;0.4;1210;296;64
17-322;17;9.7;89.6;0.0;299;4;171;11.5;0.3;1100;169;64
17-323;17;6.2;94.0;0.0;186;2;102;6.9;0.3;1000;69;64
17-324;17;10.2;92.3;0.0;278;5;247;8.4;0.4;1210;230;64
17-325;17;6.7;84.4;0.0;301;3;119;8.8;0.3;1100;106;64
17-326;17;2.8;84.2;0.0;304;2;35;7.9;0.3;1000;33;64
17-327;17;6.5;89.4;0.0;306;2;82;7.7;0.3;1000;81;64
17-328;17;0.0;100.0;0.0;0;2;53;0.0;0.3;0;0;0
17-329;17;8.4;92.0;0.0;180;3;141;6.8;0.3;1100;112;64
17-330;17;6.2;83.4;0.0;310;2;72;7.5;0.3;1000;72;64
17-331;17;7.5;93.0;0.0;226;2;118;7.4;0.3;1000;79;64
17-332;17;3.6;83.8;0.0;286;2;51;8.1;0.3;1000;37;64
17-333;17;9.2;87.4;0.0;303;4;176;10.5;0.3;1100;171;64
17-334;17;6.2;90.1;0.0;259;2;88;7.3;0.3;1000;74;60
17-335;17;8.5;96.8;0.0;267;4;152;8.2;0.3;1100;124;64
17-336;17;2.5;83.4;0.0;232;2;46;5.2;0.3;1000;21;63
17-337;17;5.7;84.9;0.0;289;2;97;10.0;0.3;1000;81;64
17-338;17;9.6;96.0;0.0;306;4;164;13.3;0.3;1100;162;64
17-339;17;14.7;97.5;0.0;304;8;562;12.0;0.4;1464;548;64
17-340;17;15.4;99.2;0.0;277;13;1055;13.2;0.5;1771;1032;64
17-341;17;13.8;100.0;0.0;260;5;295;13.2;0.4;1210;278;64
17-342;17;7.6;94.5;0.0;266;3;146;8.1;0.3;1100;110;64
17-343;17;8.1;96.4;0.0;281;4;148;9.0;0.3;1100;123;64
17-344;17;1.9;89.8;0.0;220;2;73;4.2;0.3;1000;13;56
17-345;17;11.5;94.9;0.0;303;4;270;9.9;0.4;1210;265;64
17-346;17;14.4;92.9;0.0;272;5;285;15.2;0.4;1210;270;61
17-347;17;3.3;94.7;0.0;189;2;83;5.0;0.3;1000;26;56
17-348;17;4.7;90.9;0.0;245;2;83;8.3;0.3;1000;57;63
17-349;17;2.1;69.1;0.0;305;2;27;8.9;0.3;1000;26;64
17-350;17;13.0;99.3;0.0;280;6;497;10.5;0.4;1331;482;64
17-351;17;6.4;91.8;0.0;257;2;108;9.3;0.3;1000;83;64
17-352;17;2.5;75.2;0.0;284;2;48;6.0;0.3;1000;28;64
17-353;17;13.6;97.3;0.0;302;5;330;11.2;0.4;1210;327;64
17-354;17;11.6;92.0;0.0;267;5;262;9.3;0.4;1210;252;64
17-355;17;10.8;90.5;0.0;309;4;200;11.8;0.4;1100;199;64
17-356;17;3.9;84.2;0.0;267;2;76;6.1;0.3;1000;47;62
